         Бот:	Привет!
Пользователь:	Как дела ?
         Бот:	Что было дальше ?
Пользователь:	стоп
   Программа:	Теперь бот будет молчать. Введить "продолжить", чтобы бот с Вами продолжил общаться
Пользователь:	стоп
   Программа:	Бот уже не ведёт с Вами беседу. Введить "продолжить", чтобы бот с Вами продолжил общаться
Пользователь:	хорошо
Пользователь:	тест 1
Пользователь:	тест 2
Пользователь:	продолжить
   Программа:	Теперь бот будет отвечать Вам. Введить "стоп", чтобы бот перестал с Вами общаться
Пользователь:	продолжить
   Программа:	Бот не переставал общаться с Вами. Введить "стоп", чтобы бот перестал с Вами общаться
Пользователь:	Ты снова с нами ?
         Бот:	Это так важно ?
Пользователь:	Пока !
         Бот:	Что было дальше ?
Пользователь:	закончить
